id,tanggal_transaksi,toko,produk
593,2024-05-09,Hypermart PSX,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Stick Keju, Makaroni"
594,2024-05-09,Fresh Market Sekip,"Kerupuk Ikan, Sanjai Balado, Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Seblak"
595,2024-05-09,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Jengkol"
596,2024-05-13,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
597,2024-05-13,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Ikan"
598,2024-05-13,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang"
599,2024-05-13,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Mawar"
600,2024-05-13,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Pisang, Kerupuk Ikan"
601,2024-05-17,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
602,2024-05-17,Primo PI,"Keripik Pisang, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar, Kerupuk Seblak"
603,2024-05-17,Hypermart PSX,"Makaroni, Kerupuk Udang Melati, Stick Keju, Kerupuk Jengkol, Keripik Singkong Asin"
604,2024-05-17,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Ikan"
605,2024-05-17,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Udang Mawar"
606,2024-05-21,Farmers PTC,"Kerupuk Udang Melati, Keripik Singkong Pedas, Stick Keju, Kerupuk Jengkol, Makaroni"
607,2024-05-21,Primo PI,"Kerupuk Ikan, Keripik Pisang, Sanjai Balado, Kerupuk Udang Mawar, Kerupuk Seblak"
608,2024-05-21,Hypermart PSX,"Kerupuk Jengkol, Makaroni, Stick Keju, Keripik Singkong Asin, Kerupuk Udang Melati"
609,2024-05-21,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Jengkol"
610,2024-05-21,Fresh Market Ulu,"Makaroni, Stick Keju, Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol"
611,2024-05-25,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
612,2023-10-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
613,2023-10-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
614,2023-10-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
615,2023-10-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
616,2023-10-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
617,2023-10-05,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
618,2023-10-09,Farmers PTC,"Keripik Pisang, Stick Keju"
619,2023-10-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
620,2023-10-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
621,2023-10-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
622,2023-10-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
623,2023-10-13,Indomart,"Makaroni, Ring"
624,2023-10-17,Farmers PTC,"Keripik Pisang, Stick Keju"
625,2023-10-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
626,2023-10-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
627,2023-10-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
628,2023-10-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
629,2023-10-21,Indomart,"Ring, Kerupuk Jengkol"
630,2023-10-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
631,2023-10-25,Primo PI,"Keripik Pisang, Makaroni"
632,2023-10-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
633,2023-10-29,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Ikan"
634,2023-10-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
635,2023-10-29,Indomart,"Ring, Makaroni, Kerupuk Jengkol"
636,2023-11-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
637,2023-11-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
638,2023-11-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
639,2023-11-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
640,2023-11-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
641,2023-11-06,Indomart,"Makaroni, Kerupuk Jengkol"
642,2023-11-10,Farmers PTC,"Keripik Pisang, Stick Keju"
643,2023-11-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
644,2023-11-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
645,2023-11-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
646,2023-11-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
647,2023-11-14,Indomart,"Makaroni, Ring"
648,2023-11-18,Farmers PTC,"Keripik Pisang, Stick Keju"
649,2023-11-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
650,2023-11-18,Hypermart PSX,"Makaroni, Kerupuk Jengkol, Ring"
651,2023-11-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
652,2023-11-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
653,2023-11-22,Indomart,"Kerupuk Jengkol, Ring"
654,2023-11-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
655,2023-11-26,Primo PI,"Keripik Pisang, Makaroni"
656,2023-11-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
657,2023-11-30,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati"
658,2023-11-30,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
659,2023-11-30,Indomart,"Kerupuk Jengkol, Makaroni"
660,2023-12-04,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
661,2023-12-04,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
662,2023-12-04,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
663,2023-12-08,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
664,2023-12-08,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
665,2023-12-08,Indomart,"Makaroni, Kerupuk Jengkol"
666,2023-12-12,Farmers PTC,"Keripik Pisang, Stick Keju"
667,2023-12-12,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
668,2023-12-12,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
669,2023-12-16,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
670,2023-12-16,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
671,2023-12-16,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
672,2023-12-20,Farmers PTC,"Keripik Pisang, Stick Keju"
673,2023-12-20,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
674,2023-12-20,Hypermart PSX,"Makaroni, Kerupuk Seblak"
675,2023-12-24,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
676,2023-12-24,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
677,2023-12-24,Indomart,"Ring, Kerupuk Jengkol"
678,2023-12-28,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
679,2023-12-28,Primo PI,"Keripik Pisang, Makaroni"
680,2023-12-28,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
681,2024-01-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
682,2024-01-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
683,2024-01-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
684,2024-01-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
685,2024-01-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
686,2024-01-05,Indomart,"Makaroni, Ring"
687,2024-01-09,Farmers PTC,"Keripik Pisang, Stick Keju"
688,2024-01-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
689,2024-01-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
690,2024-01-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
691,2024-01-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
692,2024-01-13,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
693,2024-01-17,Farmers PTC,"Keripik Pisang, Stick Keju"
694,2024-01-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
695,2024-01-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
696,2024-01-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
697,2024-01-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
698,2024-01-21,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
699,2024-01-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
700,2024-01-25,Primo PI,"Keripik Pisang, Makaroni"
701,2024-01-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
702,2024-01-29,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
703,2024-01-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
704,2024-01-29,Indomart,"Ring, Makaroni"
705,2024-02-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
706,2024-02-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
707,2024-02-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
708,2024-02-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
709,2024-02-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
710,2024-02-06,Indomart,"Makaroni, Kerupuk Jengkol"
711,2024-02-10,Farmers PTC,"Keripik Pisang, Stick Keju"
712,2024-02-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
713,2024-02-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
714,2024-02-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
715,2024-02-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
716,2024-02-14,Indomart,"Ring, Makaroni"
717,2024-02-18,Farmers PTC,"Keripik Pisang, Stick Keju"
718,2024-02-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
719,2024-02-18,Hypermart PSX,"Makaroni, Kerupuk Seblak"
720,2024-02-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
721,2024-02-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
722,2024-02-22,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
723,2024-02-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
724,2024-02-26,Primo PI,"Keripik Pisang, Makaroni"
725,2024-02-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
726,2024-03-02,Fresh Market Sekip,"Kerupuk Jengkol, Makaroni"
727,2024-03-02,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
728,2024-03-02,Indomart,Makaroni
729,2024-03-06,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
730,2024-03-06,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
731,2024-03-06,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
732,2024-03-10,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
733,2024-03-10,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
734,2024-03-10,Indomart,"Ring, Kerupuk Jengkol"
735,2024-03-14,Farmers PTC,"Keripik Pisang, Stick Keju"
736,2024-03-14,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
737,2024-03-14,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
738,2024-03-18,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
739,2024-03-18,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
740,2024-03-18,Indomart,"Kerupuk Jengkol, Ring"
741,2024-03-22,Farmers PTC,"Keripik Pisang, Stick Keju"
742,2024-03-22,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
743,2024-03-22,Hypermart PSX,"Makaroni, Kerupuk Seblak"
744,2024-03-26,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
745,2024-03-26,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
746,2024-03-26,Indomart,Kerupuk Jengkol
747,2024-03-30,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
748,2024-03-30,Primo PI,"Keripik Pisang, Makaroni"
749,2024-03-30,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
750,2024-04-03,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
751,2024-04-03,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
752,2024-04-03,Indomart,"Sanjai Balado, Kerupuk Jengkol, Ring"
753,2024-04-07,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
754,2024-04-07,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
755,2024-04-07,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
756,2024-04-11,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Makaroni, Kerupuk Jengkol, Stick Keju"
757,2024-04-11,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
758,2024-04-11,Hypermart PSX,"Keripik Pisang, Makaroni, Kerupuk Jengkol, Kerupuk Ikan, Kerupuk Udang Melati"
759,2024-04-11,Fresh Market Sekip,"Kerupuk Seblak, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Ikan"
760,2024-04-11,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir, Kerupuk Jengkol, Kerupuk Udang Mawar, Makaroni"
761,2024-04-15,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Kerupuk Ikan, Kerupuk Seblak"
762,2024-04-15,Primo PI,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Makaroni, Kerupuk Udang Mawar"
763,2024-04-15,Hypermart PSX,"Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol, Stick Keju, Keripik Singkong Asin"
764,2024-04-15,Fresh Market Sekip,"Kerupuk Ikan, Kerupuk Udang Mawar, Makaroni, Sanjai Balado, Keripik Untir-Untir"
765,2024-04-15,Fresh Market Ulu,"Kerupuk Seblak, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Ikan, Stick Keju"
766,2024-04-19,Farmers PTC,"Kerupuk Ikan, Keripik Pisang, Makaroni, Stick Keju, Kerupuk Udang Melati"
767,2024-04-19,Primo PI,"Sanjai Balado, Kerupuk Udang Mawar, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Seblak"
768,2024-04-19,Hypermart PSX,"Keripik Untir-Untir, Makaroni, Kerupuk Ikan, Stick Keju, Kerupuk Jengkol"
769,2024-04-19,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar, Keripik Pisang"
770,2024-04-19,Fresh Market Ulu,"Kerupuk Seblak, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Untir-Untir"
771,2024-04-23,Farmers PTC,"Keripik Singkong Pedas, Kerupuk Udang Mawar, Stick Keju, Kerupuk Ikan, Kerupuk Jengkol"
772,2024-04-23,Primo PI,"Makaroni, Kerupuk Seblak, Keripik Pisang, Sanjai Balado, Keripik Untir-Untir"
773,2024-04-23,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan"
774,2024-04-23,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado, Kerupuk Udang Mawar"
775,2024-04-23,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
776,2024-04-27,Farmers PTC,"Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
777,2024-04-27,Primo PI,"Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Jengkol, Sanjai Balado, Kerupuk Seblak"
778,2024-04-27,Hypermart PSX,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Singkong Asin, Keripik Untir-Untir"
779,2024-04-27,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado"
780,2024-04-27,Fresh Market Ulu,"Kerupuk Ikan, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Jengkol"
781,2024-05-01,Farmers PTC,"Kerupuk Udang Mawar, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
782,2024-05-01,Primo PI,"Keripik Pisang, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Seblak"
783,2024-05-01,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Stick Keju, Makaroni, Keripik Singkong Asin"
784,2024-05-01,Fresh Market Sekip,"Kerupuk Ikan, Stick Keju, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar"
785,2024-05-01,Fresh Market Ulu,"Kerupuk Udang Melati, Makaroni, Kerupuk Ikan, Keripik Pisang, Kerupuk Seblak"
786,2024-05-05,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Stick Keju, Kerupuk Jengkol, Makaroni"
787,2024-05-05,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
788,2024-05-05,Hypermart PSX,"Keripik Pisang, Kerupuk Jengkol, Makaroni, Stick Keju, Kerupuk Seblak"
789,2024-05-05,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar"
790,2024-05-05,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
791,2024-05-09,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Udang Melati"
792,2024-05-09,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
793,2024-05-09,Hypermart PSX,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Stick Keju, Makaroni"
794,2024-05-09,Fresh Market Sekip,"Kerupuk Ikan, Sanjai Balado, Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Seblak"
795,2024-05-09,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Jengkol"
796,2024-05-13,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
797,2024-05-13,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Ikan"
798,2024-05-13,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang"
799,2024-05-13,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Mawar"
800,2024-05-13,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Pisang, Kerupuk Ikan"
801,2024-05-17,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
802,2024-05-17,Primo PI,"Keripik Pisang, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar, Kerupuk Seblak"
803,2024-05-17,Hypermart PSX,"Makaroni, Kerupuk Udang Melati, Stick Keju, Kerupuk Jengkol, Keripik Singkong Asin"
804,2024-05-17,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Ikan"
805,2024-05-17,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Udang Mawar"
806,2024-05-21,Farmers PTC,"Kerupuk Udang Melati, Keripik Singkong Pedas, Stick Keju, Kerupuk Jengkol, Makaroni"
807,2024-05-21,Primo PI,"Kerupuk Ikan, Keripik Pisang, Sanjai Balado, Kerupuk Udang Mawar, Kerupuk Seblak"
808,2024-05-21,Hypermart PSX,"Kerupuk Jengkol, Makaroni, Stick Keju, Keripik Singkong Asin, Kerupuk Udang Melati"
809,2024-05-21,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Jengkol"
810,2024-05-21,Fresh Market Ulu,"Makaroni, Stick Keju, Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol"
811,2024-05-25,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
